bairro_nome,Cidade,Pais,Endereco_Completo,Endereco_Completo_final,latitude,longitude
Açude,ITAJUBÁ,BRASIL,"Açude,ITAJUBÁ,BRASIL,Açude,ITAJUBÁ,BRASIL","Rodovia Itajuba Piranguçu, Bairro das Nações, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37504-364, Brasil","-22,43435830000000","-45,48932110000000"
Anhumas,ITAJUBÁ,BRASIL,"Anhumas,ITAJUBÁ,BRASIL,Anhumas,ITAJUBÁ,BRASIL","Anhumas, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, Brasil","-22,44814535000000","-45,46337820595790"
Ano Bom,ITAJUBÁ,BRASIL,"Ano Bom,ITAJUBÁ,BRASIL,Ano Bom,ITAJUBÁ,BRASIL",,"-22,44670890000000","-45,46917700000000"
Área Rural de Itajubá,ITAJUBÁ,BRASIL,"Área Rural de Itajubá,ITAJUBÁ,BRASIL,Área Rural de Itajubá,ITAJUBÁ,BRASIL",,,
Avenida,ITAJUBÁ,BRASIL,"Avenida,ITAJUBÁ,BRASIL,Avenida,ITAJUBÁ,BRASIL","Rua Cristiano Brasil, Avenida, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37500-028, Brasil","-22,42912860000000","-45,46146330000000"
Boa Vista,ITAJUBÁ,BRASIL,"Boa Vista,ITAJUBÁ,BRASIL,Boa Vista,ITAJUBÁ,BRASIL","Condomínio Boa Vista, Boa Vista, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, Brasil","-22,41891170000000","-45,46989182073300"
Cantagalo,ITAJUBÁ,BRASIL,"Cantagalo,ITAJUBÁ,BRASIL,Cantagalo,ITAJUBÁ,BRASIL",,"-22,46754090000000","-45,41014110000000"
Capituba,ITAJUBÁ,BRASIL,"Capituba,ITAJUBÁ,BRASIL,Capituba,ITAJUBÁ,BRASIL","Rodovia Itajuba Piranguçu, Capituba, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37503-404, Brasil","-22,45249030000000","-45,48631370000000"
Centro,ITAJUBÁ,BRASIL,"Centro,ITAJUBÁ,BRASIL,Centro,ITAJUBÁ,BRASIL","Rua para o Centro de Apoio Nossa Senhora do Sacrado Coração, Santo Antônio, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37503-404, Brasil","-22,43539790000000","-45,46974010000000"
Cruzeiro,ITAJUBÁ,BRASIL,"Cruzeiro,ITAJUBÁ,BRASIL,Cruzeiro,ITAJUBÁ,BRASIL","Área verde do Cruzeiro, Pinheirinho, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, Brasil","-22,41624300000000","-45,44802474307580"
Estancia,ITAJUBÁ,BRASIL,"Estancia,ITAJUBÁ,BRASIL,Estancia,ITAJUBÁ,BRASIL","Serra da Estância, Estância de Baixo, Delfim Moreira, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37514-000, Brasil","-22,47098290000000","-45,30504230000000"
Estiva,ITAJUBÁ,BRASIL,"Estiva,ITAJUBÁ,BRASIL,Estiva,ITAJUBÁ,BRASIL","CEAM, 1, Praça Doutor Carlos Victor, Vila Zeca Faria, Varginha, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37501-155, Brasil","-22,42415230000000","-45,44614939549030"
Figueiras,ITAJUBÁ,BRASIL,"Figueiras,ITAJUBÁ,BRASIL,Figueiras,ITAJUBÁ,BRASIL",,"-22,41863500000000","-45,45284190000000"
Ilhéus,ITAJUBÁ,BRASIL,"Ilhéus,ITAJUBÁ,BRASIL,Ilhéus,ITAJUBÁ,BRASIL","Rodovia Itajuba Piranguçu, Ilhéus, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37503-404, Brasil","-22,45820910000000","-45,48331140000000"
Imbel,ITAJUBÁ,BRASIL,"Imbel,ITAJUBÁ,BRASIL,Imbel,ITAJUBÁ,BRASIL","Imbel Fábrica de Itajubá, Vila Mestre Waldemar Carpinetti, Imbel, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37501-338, Brasil","-22,44059850000000","-45,42773681755740"
Jardim Bernadete,ITAJUBÁ,BRASIL,"Jardim Bernadete,ITAJUBÁ,BRASIL,Jardim Bernadete,ITAJUBÁ,BRASIL","Rua Vital Brasil, São Vicente, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37500-028, Brasil","-22,43361360000000","-45,45854740000000"
Juru,ITAJUBÁ,BRASIL,"Juru,ITAJUBÁ,BRASIL,Juru,ITAJUBÁ,BRASIL",,"-22,38917940000000","-45,42593330000000"
Medicina,ITAJUBÁ,BRASIL,"Medicina,ITAJUBÁ,BRASIL,Medicina,ITAJUBÁ,BRASIL","Rotatória da Medicina, São Vicente, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, Brasil","-22,43383415000000","-45,45866343232970"
Morro Chic,ITAJUBÁ,BRASIL,"Morro Chic,ITAJUBÁ,BRASIL,Morro Chic,ITAJUBÁ,BRASIL","Rua Cristiano Brasil, Avenida, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37500-028, Brasil","-22,42912860000000","-45,46146330000000"
Morro Grande,ITAJUBÁ,BRASIL,"Morro Grande,ITAJUBÁ,BRASIL,Morro Grande,ITAJUBÁ,BRASIL","Rodovia Lorena-Itajubá, Morro Grande, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37501-338, Brasil","-22,44823650000000","-45,42662850000000"
